Name,Artist,Album,Duration,Year,Genre
I Will Always Love You,Whitney Houston,The Bodyguard,4:31,1992,R&B
Billie Jean,Michael Jackson,Thriller,4:54,1982,Pop
Blinding Lights,The Weeknd,After Hours,3:20,2020,Pop
Watermelon Sugar,Harry Styles,Fine Line,2:53,2019,Pop
Creep,Radiohead,Pablo Honey,3:56,1993,Alternative Rock
Bohemian Rhapsody,Queen,A Night at the Opera,5:55,1975,Rock
Shape of You,Ed Sheeran,Divide,3:53,2017,Pop
"No Woman, No Cry",Bob Marley & The Wailers,Natty Dread,4:00,1974,Reggae
One Dance,Drake,Views,2:54,2016,Afrobeats
Yeah!,Usher,Confessions,4:10,2004,R&B
I Will Always Love You,Whitney Houston,The Bodyguard,4:31,1992,R&B
Billie Jean,Michael Jackson,Thriller,4:54,1982,Pop
Blinding Lights,The Weeknd,After Hours,3:20,2020,Pop
Watermelon Sugar,Harry Styles,Fine Line,2:53,2019,Pop
Creep,Radiohead,Pablo Honey,3:56,1993,Alternative Rock
Bohemian Rhapsody,Queen,A Night at the Opera,5:55,1975,Rock
Shape of You,Ed Sheeran,Divide,3:53,2017,Pop
"No Woman, No Cry",Bob Marley & The Wailers,Natty Dread,4:00,1974,Reggae
One Dance,Drake,Views,2:54,2016,Afrobeats
Yeah!,Usher,Confessions,4:10,2004,R&B
I Will Always Love You,Whitney Houston,The Bodyguard,4:31,1992,R&B
Billie Jean,Michael Jackson,Thriller,4:54,1982,Pop
Blinding Lights,The Weeknd,After Hours,3:20,2020,Pop
Watermelon Sugar,Harry Styles,Fine Line,2:53,2019,Pop
Creep,Radiohead,Pablo Honey,3:56,1993,Alternative Rock
Bohemian Rhapsody,Queen,A Night at the Opera,5:55,1975,Rock
Shape of You,Ed Sheeran,Divide,3:53,2017,Pop
"No Woman, No Cry",Bob Marley & The Wailers,Natty Dread,4:00,1974,Reggae
One Dance,Drake,Views,2:54,2016,Afrobeats
Yeah!,Usher,Confessions,4:10,2004,R&B
I Will Always Love You,Whitney Houston,The Bodyguard,4:31,1992,R&B
Billie Jean,Michael Jackson,Thriller,4:54,1982,Pop
Blinding Lights,The Weeknd,After Hours,3:20,2020,Pop
Watermelon Sugar,Harry Styles,Fine Line,2:53,2019,Pop
Creep,Radiohead,Pablo Honey,3:56,1993,Alternative Rock
Bohemian Rhapsody,Queen,A Night at the Opera,5:55,1975,Rock
Shape of You,Ed Sheeran,Divide,3:53,2017,Pop
"No Woman, No Cry",Bob Marley & The Wailers,Natty Dread,4:00,1974,Reggae
One Dance,Drake,Views,2:54,2016,Afrobeats
Yeah!,Usher,Confessions,4:10,2004,R&B
I Will Always Love You,Whitney Houston,The Bodyguard,4:31,1992,R&B
Billie Jean,Michael Jackson,Thriller,4:54,1982,Pop
Blinding Lights,The Weeknd,After Hours,3:20,2020,Pop
Watermelon Sugar,Harry Styles,Fine Line,2:53,2019,Pop
Creep,Radiohead,Pablo Honey,3:56,1993,Alternative Rock
Bohemian Rhapsody,Queen,A Night at the Opera,5:55,1975,Rock
Shape of You,Ed Sheeran,Divide,3:53,2017,Pop
"No Woman, No Cry",Bob Marley & The Wailers,Natty Dread,4:00,1974,Reggae
One Dance,Drake,Views,2:54,2016,Afrobeats
Yeah!,Usher,Confessions,4:10,2004,R&B
I Will Always Love You,Whitney Houston,The Bodyguard,4:31,1992,R&B
Billie Jean,Michael Jackson,Thriller,4:54,1982,Pop
Blinding Lights,The Weeknd,After Hours,3:20,2020,Pop
Watermelon Sugar,Harry Styles,Fine Line,2:53,2019,Pop
Creep,Radiohead,Pablo Honey,3:56,1993,Alternative Rock
Bohemian Rhapsody,Queen,A Night at the Opera,5:55,1975,Rock
Shape of You,Ed Sheeran,Divide,3:53,2017,Pop
"No Woman, No Cry",Bob Marley & The Wailers,Natty Dread,4:00,1974,Reggae
One Dance,Drake,Views,2:54,2016,Afrobeats
Yeah!,Usher,Confessions,4:10,2004,R&B
I Will Always Love You,Whitney Houston,The Bodyguard,4:31,1992,R&B
Billie Jean,Michael Jackson,Thriller,4:54,1982,Pop
Blinding Lights,The Weeknd,After Hours,3:20,2020,Pop
Watermelon Sugar,Harry Styles,Fine Line,2:53,2019,Pop
Creep,Radiohead,Pablo Honey,3:56,1993,Alternative Rock
Bohemian Rhapsody,Queen,A Night at the Opera,5:55,1975,Rock
Shape of You,Ed Sheeran,Divide,3:53,2017,Pop
"No Woman, No Cry",Bob Marley & The Wailers,Natty Dread,4:00,1974,Reggae
One Dance,Drake,Views,2:54,2016,Afrobeats
Yeah!,Usher,Confessions,4:10,2004,R&B
I Will Always Love You,Whitney Houston,The Bodyguard,4:31,1992,R&B
Billie Jean,Michael Jackson,Thriller,4:54,1982,Pop
Blinding Lights,The Weeknd,After Hours,3:20,2020,Pop
Watermelon Sugar,Harry Styles,Fine Line,2:53,2019,Pop
Creep,Radiohead,Pablo Honey,3:56,1993,Alternative Rock
Bohemian Rhapsody,Queen,A Night at the Opera,5:55,1975,Rock
Shape of You,Ed Sheeran,Divide,3:53,2017,Pop
"No Woman, No Cry",Bob Marley & The Wailers,Natty Dread,4:00,1974,Reggae
One Dance,Drake,Views,2:54,2016,Afrobeats
Yeah!,Usher,Confessions,4:10,2004,R&B
I Will Always Love You,Whitney Houston,The Bodyguard,4:31,1992,R&B
Billie Jean,Michael Jackson,Thriller,4:54,1982,Pop
Blinding Lights,The Weeknd,After Hours,3:20,2020,Pop
Watermelon Sugar,Harry Styles,Fine Line,2:53,2019,Pop
Creep,Radiohead,Pablo Honey,3:56,1993,Alternative Rock
Bohemian Rhapsody,Queen,A Night at the Opera,5:55,1975,Rock
Shape of You,Ed Sheeran,Divide,3:53,2017,Pop
"No Woman, No Cry",Bob Marley & The Wailers,Natty Dread,4:00,1974,Reggae
One Dance,Drake,Views,2:54,2016,Afrobeats
Yeah!,Usher,Confessions,4:10,2004,R&B
I Will Always Love You,Whitney Houston,The Bodyguard,4:31,1992,R&B
Billie Jean,Michael Jackson,Thriller,4:54,1982,Pop
Blinding Lights,The Weeknd,After Hours,3:20,2020,Pop
Watermelon Sugar,Harry Styles,Fine Line,2:53,2019,Pop
Creep,Radiohead,Pablo Honey,3:56,1993,Alternative Rock
Bohemian Rhapsody,Queen,A Night at the Opera,5:55,1975,Rock
Shape of You,Ed Sheeran,Divide,3:53,2017,Pop
"No Woman, No Cry",Bob Marley & The Wailers,Natty Dread,4:00,1974,Reggae
One Dance,Drake,Views,2:54,2016,Afrobeats
Yeah!,Usher,Confessions,4:10,2004,R&B
I Will Always Love You,Whitney Houston,The Bodyguard,4:31,1992,R&B
Billie Jean,Michael Jackson,Thriller,4:54,1982,Pop
Blinding Lights,The Weeknd,After Hours,3:20,2020,Pop
Watermelon Sugar,Harry Styles,Fine Line,2:53,2019,Pop
Creep,Radiohead,Pablo Honey,3:56,1993,Alternative Rock
Bohemian Rhapsody,Queen,A Night at the Opera,5:55,1975,Rock
Shape of You,Ed Sheeran,Divide,3:53,2017,Pop
"No Woman, No Cry",Bob Marley & The Wailers,Natty Dread,4:00,1974,Reggae
One Dance,Drake,Views,2:54,2016,Afrobeats
Yeah!,Usher,Confessions,4:10,2004,R&B
I Will Always Love You,Whitney Houston,The Bodyguard,4:31,1992,R&B
Billie Jean,Michael Jackson,Thriller,4:54,1982,Pop
Blinding Lights,The Weeknd,After Hours,3:20,2020,Pop
Watermelon Sugar,Harry Styles,Fine Line,2:53,2019,Pop
Creep,Radiohead,Pablo Honey,3:56,1993,Alternative Rock
Bohemian Rhapsody,Queen,A Night at the Opera,5:55,1975,Rock
Shape of You,Ed Sheeran,Divide,3:53,2017,Pop
"No Woman, No Cry",Bob Marley & The Wailers,Natty Dread,4:00,1974,Reggae
One Dance,Drake,Views,2:54,2016,Afrobeats
Yeah!,Usher,Confessions,4:10,2004,R&B
I Will Always Love You,Whitney Houston,The Bodyguard,4:31,1992,R&B
Billie Jean,Michael Jackson,Thriller,4:54,1982,Pop
Blinding Lights,The Weeknd,After Hours,3:20,2020,Pop
Watermelon Sugar,Harry Styles,Fine Line,2:53,2019,Pop
Creep,Radiohead,Pablo Honey,3:56,1993,Alternative Rock
Bohemian Rhapsody,Queen,A Night at the Opera,5:55,1975,Rock
Shape of You,Ed Sheeran,Divide,3:53,2017,Pop
"No Woman, No Cry",Bob Marley & The Wailers,Natty Dread,4:00,1974,Reggae
One Dance,Drake,Views,2:54,2016,Afrobeats
Yeah!,Usher,Confessions,4:10,2004,R&B
I Will Always Love You,Whitney Houston,The Bodyguard,4:31,1992,R&B
Billie Jean,Michael Jackson,Thriller,4:54,1982,Pop
Blinding Lights,The Weeknd,After Hours,3:20,2020,Pop
Watermelon Sugar,Harry Styles,Fine Line,2:53,2019,Pop
Creep,Radiohead,Pablo Honey,3:56,1993,Alternative Rock
Bohemian Rhapsody,Queen,A Night at the Opera,5:55,1975,Rock
Shape of You,Ed Sheeran,Divide,3:53,2017,Pop
"No Woman, No Cry",Bob Marley & The Wailers,Natty Dread,4:00,1974,Reggae
One Dance,Drake,Views,2:54,2016,Afrobeats
Yeah!,Usher,Confessions,4:10,2004,R&B
I Will Always Love You,Whitney Houston,The Bodyguard,4:31,1992,R&B
Billie Jean,Michael Jackson,Thriller,4:54,1982,Pop
